time, alt, velo
18:27,20056.59 km,3.89 km/s
18:38,20045.12 km,3.89 km/s
18:49,20035.20 km,3.90 km/s
19:0,20026.87 km,3.90 km/s
19:11,20020.21 km,3.90 km/s
19:22,20015.25 km,3.90 km/s
19:33,20012.00 km,3.90 km/s
19:44,20010.45 km,3.90 km/s
19:55,20010.58 km,3.90 km/s
20:6,20012.35 km,3.90 km/s
20:17,20015.70 km,3.90 km/s
20:28,20020.57 km,3.90 km/s
20:39,20026.88 km,3.90 km/s
20:50,20034.54 km,3.90 km/s
21:1,20043.45 km,3.90 km/s
21:12,20053.53 km,3.89 km/s
21:23,20064.69 km,3.89 km/s
21:34,20076.80 km,3.89 km/s
21:45,20089.77 km,3.89 km/s
21:56,20103.50 km,3.89 km/s
22:7,20117.88 km,3.88 km/s
22:18,20132.81 km,3.88 km/s
22:29,20148.17 km,3.88 km/s
22:40,20163.87 km,3.88 km/s
22:51,20179.79 km,3.88 km/s
23:2,20195.83 km,3.87 km/s
23:13,20211.88 km,3.87 km/s
23:24,20227.79 km,3.87 km/s
23:35,20243.50 km,3.87 km/s
23:46,20258.84 km,3.86 km/s
23:57,20273.73 km,3.86 km/s
0:8,20288.02 km,3.86 km/s
0:19,20301.59 km,3.86 km/s
0:30,20314.32 km,3.85 km/s
0:41,20326.08 km,3.85 km/s
0:52,20336.76 km,3.85 km/s
1:3,20346.23 km,3.85 km/s
1:14,20354.38 km,3.85 km/s
1:25,20361.12 km,3.85 km/s
1:36,20366.33 km,3.85 km/s
1:47,20369.95 km,3.85 km/s
1:58,20371.91 km,3.85 km/s
2:9,20372.15 km,3.85 km/s
2:20,20370.63 km,3.85 km/s
2:31,20367.34 km,3.85 km/s
2:42,20362.28 km,3.85 km/s
2:53,20355.48 km,3.85 km/s
3:4,20346.96 km,3.85 km/s
3:15,20336.81 km,3.85 km/s
3:26,20325.12 km,3.86 km/s
3:37,20311.99 km,3.86 km/s
3:48,20297.55 km,3.86 km/s
3:59,20281.94 km,3.86 km/s
4:10,20265.34 km,3.86 km/s
4:21,20247.93 km,3.87 km/s
4:32,20229.90 km,3.87 km/s
4:43,20211.44 km,3.87 km/s
4:54,20192.76 km,3.87 km/s
5:5,20174.06 km,3.88 km/s
5:16,20155.59 km,3.88 km/s